NCAA Event Profiles,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
Men,,,,,,,,,,
,,,,,,,,,,
,,Prelims,,,,,Finals,,,
Event,,1st,8th,9th,16th,,1st,8th,9th,16th
50 Freestyle,2025.0,19.56,19.95,19.97,20.18,,19.53,20.08,19.94,20.40
,2024.0,19.66,20.06,20.11,20.22,,19.66,20.04,20.07,20.44
,2023.0,19.71,20.04,20.12,20.27,,19.48,20.38,19.83,20.20
,2022.0,19.58,20.05,20.13,20.31,,19.50,20.13,19.98,20.43
100 Freestyle,2025.0,43.05,44.01,44.07,44.55,,42.88,44.38,43.65,44.87
,2024.0,43.13,44.21,44.34,44.57,,43.26,44.43,44.32,44.94
,2023.0,43.39,44.34,44.42,44.97,,43.32,45.05,43.84,45.23
,2022.0,43.44,44.17,44.21,44.54,,43.36,45.09,44.27,44.96
200 Freestyle,2025.0,1:36.36,1:37.48,1:38.00,1:38.53,,1:35.68,1:40.28,1:37.92,1:39.54
,2024.0,1:36.44,1:37.81,1:37.91,1:38.62,,1:34.95,1:40.61,1:37.94,1:39.47
,2023.0,137.14,1:38.22,1:38.30,1:39.21,,134.74,1:39.19,136.35,139.12
,2022.0,1:36.73,1:37.85,1:37.89,1:38.80,,1:36.00,1:38.72,1:37.98,1:39.70
500 Freestyle,2025.0,4:24.62,4:27.85,4:27.86,4:29.55,,4:22.43,4:26.19,4:23.37,4:32.40
,2024.0,4:25.42,4:28.39,4:28.43,4:29.27,,4:21.32,4:38.07,4:25.51,4:32.82
,2023.0,4:21.68,4:26.96,4:27.17,4:29.56,,4:20.41,4:27.52,4:23.65,4:30.08
,2022.0,4:24.31,4:27.41,4:27.92,4:30.68,,4:21.58,4:27.93,4:25.67,4:32.12
1650 Freestyle,2025.0,,,,,,15:18.01,15:32.73,15:40.90,15:49.85
,2024.0,,,,,,15:17.48,15:33.79,15:35.23,15:52.55
,2023.0,,,,,,15:15.86,15:34.50,15:35.59,"15:50,03"
,2022.0,,,,,,15:13.37,15:21.91,15:29.05,15:49.41
100 Back,2025.0,47.36,48.07,48.23,48.62,,46.61,48.91,47.90,49.27
,2024.0,47.39,48.08,48.16,48.78,,46.90,48.40,47.89,50.00
,2023.0,47.02,47.84,47.87,48.71,,45.75,47.75,47..53,49.26
,2022.0,47.09,47.79,47.81,48.46,,46.45,48.20,47.53,48.42
200 Back,2025.0,1:45.29,1:46.57,1:46.89,1:47.59,,1:44.15,1:48.17,1:46.93,1:48.93
,2024.0,1:45.03,1:46.46,1:47.41,1:48.29,,1:43.40,1:49.25,1:47.41,1:51.06
,2023.0,1:42.84,1:47.00,1:47.01,1:47.89,,1:41.17,1:47.39,1:47.02,1:51.79
,2022.0,1:43.43,1:46.50,1:46.51,1:47.71,,1:41.49,1:47.29,1:45.05,1:47.37
100 Breast,2025.0,53.11,54.21,54.28,54.73,,52.61,54.64,53.90,55.41
,2024.0,52.83,54.14,54.16,54.62,,51.83,54.75,54.01,54.96
,2023.0,53.13,54.50,54.51,54.92,,52.87,54.91,54.06,56.04
,2022.0,53.22,54.17,54.52,55.08,,52.71,54.35,54.26,55.87
200 Breast,2025.0,1:57.62,1:58.56,1:58.86,2:00.87,,1:56.64,1:59.62,1:58.86,2:00.86
,2024.0,1:56.36,1:58.63,1:58.81,1:58.81,,1:54.26,1:59.81,1:59.01,2:00.32
,2023.0,1:57:38,1:58.37,1:58.74,2:00.98,,1:53.77,2:00.72,1:58.25,2:00.55
,2022.0,1:57.27,1:58.88,1:59.22,2:00.75,,1:55.83,1:58.40,1:56.69,2:01.23
100 Fly,2025.0,46.44,47.53,47.67,48.02,,45.97,47.81,47.37,48.46
,2024.0,46.56,47.80,47.84,48.34,,46.28,47.84,47.97,48.59
,2023.0,46.47,47.94,48.09,48.27,,46.51,48.09,47.48,48.47
,2022.0,46.88,47.95,47.99,48.19,,46.77,47.78,47.67,48.80
200 Fly,2025.0,1:44.36,1:47.02,1:47.54,1:48.06,,1:42.62,1:48.96,1:47.04,1:49.66
,2024.0,1:45.91,1:47.19,1:47.32,1:47.93,,1:43.21,1:48.47,1:47.12,1:49.22
,2023.0,1:45.66,1:47.87,1:47.94,1:48.98,,1:43.96,1:48.22,1:46.33,1:48.91
,2022.0,1:46.49,1:48.08,1:48.30,1:48.88,,1:44.01,1:48.76,1:47.19,1:51.70
200 IM,2025.0,1:46.23,1:47.74,1:47.79,1:48.71,,1:45.50,1:48.01,1:48.13,1:49.67
,2024.0,1:45.84,1:48.29,1:48.84,1:49.49,,1:42.97,1:48.97,1:48.05,1:51.52
,2023.0,1:47.17,1:48.54,1:48.54,1:49.77,,1:45.65,1:49.44,1:48.00,1:50.35
,2022.0,1:47.48,1:48.71,1:48.83,1:49.35,,1:46.19,1:49.33,1:48.01,1:51.31
400 IM,2025.0,3:50.29,3:53.62,3:53.96,3:56.34,,3:48.75,3:56.02,3:52.53,4:00.15
,2024.0,3:52.42,3:54.51,3:54.63,3:55.91,,3:51.84,3:57.43,3:53.85,3:59.39
,2023.0,3:52.09,3:55.14,3:55.82,3:57.52,,3:49.58,3:59.23,3:53.68,3:59.64
,2022.0,3:51.71,3:55.40,3:56.47,3:58.52,,3:47.62,3:57.05,3:56.27,3:59.56
200 Medley Relay,2025.0,1:26.65,1:28.25,1:28.32,1:29.41,,1:26.72,1:27.94,1:27.52,1:29.48
,2024.0,1:27.47,1:28.70,1:28.82,1:29.09,,1:26.14,1:29.68,1:27.70,1:29.76
,2023.0, 1:27.27,1:28.88,1:29.32,1:30.05,,1:25.85,1:28.38,1:28.11,1:29.73
,2022.0,1:27.66,1:28.91,1:28.92,1:30.60,,1:27.08,1:28.70,1:27.51,1:30.78
400 Medley Relay,2025.0,3:11.73,3:15.20,3:15.23,3:17.43,,3:10.84,3:16.38,3:13.34,3:17.36
,2024.0,3:11.98,3:15.29,3:15.51,3:18.36,,3:09.78,3:14.97,3:14.21,3:19.58
,2023.0,3:12.49,3:15.50,3:15.95,3:19.85,,3:11.39,3:16.40,3:15.80,3:20.85
,2022.0,3:14.22,3:14.73,3:16.00,3:20.98,,3:11.99,3:13.48,3:16.03,3:21.89
200 Free Relay,2025.0,1:19.74,1:20.61,1:20.64,1:21.45,,1:18.51,1:21.05,1:20.34,1:21.70
,2024.0,1:19.71,1:21.09,1:21.17,1:22.18,,1:19.19,1:20.54,1:20.56,1:23.06
,2023.0,1:19.90,1:21.36,1:21.41,1:22.09,,1:18.40,1:21.24,1:21.41,1:22.39
,2022.0,1:19.56,1:20.75,1:20.77,1:21.53,,1:19.10,1:21.20,1:20.47,1:21.88
400 Free Relay,2025.0,2:56.76,2:58.72,2:58.78,3:00.36,,2:54.20,2:58.92,2:57.16,3:00.98
,2024.0,2:56.09,2:59.05,2:59.30,3:01.23,,2:54.52,2:59.75,2:58.82,3:01.19
,2023.0,2:55.74,3:00.50,3:00.64,3:01.90,,2:54.34,3:01.24,3:00.20,3:01.54
,2022.0,2:56.07,2:59.33,2:59.38,3:00.46,,2:54.38,2:59.43,2:57.84,3:01.06
800 Free Relay,2025.0,,,,,,6:26.98,6:33.96,6:35.01,6:43.08
,2024.0,,,,,,6:29.05,6:35.71,6:36.13,6:43.32
,2023.0,,,,,,6:26.98,6:38.39,6:38.89,6:44.13
,2022.0,,,,,,6:28.69,6:35.42,6:37.27,6:42.01
